Unique_ID,X,Y,composite1,Riverdis_value_remap,Road_value_remap,Railway_value_remap,Space_value_remap,Riverquality_value_remap,SUM_public,SUM_educat,SUM_Changi,SUM_reside,SUM_social,All_Ages_2,Aged_0_15,Aged_16_29,Aged_30_44,Aged_45_64,Aged_65__2,Working_ag,Age_Struct,Persons_pe,All_househ,Couple_wit,Couple_w_1,House_Pric,House_Sale,Employment,Unemployme,Public_Tra,Transport,Transpor_1,Transpor_2,Household,Househol_1
6910,535688,196558,0.38,0,0.11,0,0.14,0,0,0,0,1212.917587,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6911,535874,196558,0.38,0,0.04,0,0.35,0,0,0,0,1270.034595,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6912,536060,196558,0.46,0,0.08,0,0.48,0,0,0,0,266.3029985,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6913,536246,196558,0.54,0,0,0.67,0.5,0,70.95449829,0,0,419.331171,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6914,536433,196558,0.54,0,0.1,0,0.11,0,1368.494212,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6915,536619,196558,0.46,0.16,0,0,0,0,3560.956852,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6916,536805,196558,0.46,0.69,0,0,0,0.09,3971.511711,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6917,536991,196558,0.31,0.93,0.03,0,0.83,0.45,0,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6918,537177,196558,0.38,1,0,0,0.8,0,0,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6919,537363,196558,0.38,1,0,0,0.8,0,0,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6920,537549,196558,0.31,1,0,0,0.8,0.18,0,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6921,534850,196612,0.54,0,0,0.9,0.18,0,2418.005981,0,0,0,0,1699,388,327,327,404,253,1058,1024,54,597,131,135,298500,10,54,11,3.2,0,100,0,30908,24534
6922,535037,196612,0.54,0,0,0,0,0,0,0,0,1449.438276,0,1699,388,327,327,404,253,1058,1024,54,597,131,135,298500,10,54,11,3.2,0,100,0,30908,24534
6923,535223,196612,0.69,0.05,0.01,0,0.02,0,103.1187019,0,0,2004.561302,0,1699,388,327,327,404,253,1058,1024,54,597,131,135,298500,10,54,11,3.2,0,100,0,30908,24534
6924,535409,196612,0.46,0,0,0,0.8,0,0,0,0,0,0,1699,388,327,327,404,253,1058,1024,54,597,131,135,298500,10,54,11,3.2,0,100,0,30908,24534
6925,535595,196612,0.46,0,0.01,0,0.98,0,0,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6926,535781,196612,0.38,0,0.12,0,0.3,0,0,0,0,1301.554703,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6927,535967,196612,0.46,0,0.08,0,0.94,0,0,0,0,105.7194085,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6928,536153,196612,0.46,0,0,0,0.08,0,0,0,0,1783.414232,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6929,536339,196612,0.54,0,0,0.6,0.09,0,3290.586588,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6930,536526,196612,0.46,0.03,0,0,0,0,1898.653,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6931,536712,196612,0.46,0.65,0,0,0,0,3856.933044,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6932,536898,196612,0.31,0.99,0,0,0.43,0.45,1834.27002,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6933,537084,196612,0.38,0.97,0.02,0,0.8,0.18,0,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
